validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss
0.09048355370759964,0.3560734689235687,0.9643288254737854,1.095428228378296,-130.8616943359375,-58.27931213378906,59.33501052856445,0.09042930603027344,0.3561485707759857,0.3007146716117859,0.596781849861145,0,31,,,,,,,
,,,,,,,,,,,0,31,0.13116449117660522,0.607262909412384,0.9841621518135071,1.2030117511749268,6.94691276550293,-73.50225067138672,74.47734832763672
0.07722534239292145,0.2564643919467926,0.9576894044876099,1.047019362449646,-175.91514587402344,-54.36951446533203,55.44554901123047,0.0771813690662384,0.2563920021057129,0.2778153419494629,0.5063516497612,1,63,,,,,,,
,,,,,,,,,,,1,63,0.08387802541255951,0.3062237501144409,0.9609912037849426,1.071429967880249,-168.5843048095703,-56.0383186340332,57.11945724487305
0.07120522856712341,0.2024260014295578,0.9546208381652832,1.0201092958450317,-162.26568603515625,-52.30720901489258,53.35612487792969,0.07116671651601791,0.20235756039619446,0.2667708992958069,0.44984170794487,2,95,,,,,,,
,,,,,,,,,,,2,95,0.07369264215230942,0.22606225311756134,0.9558963775634766,1.0318719148635864,-167.98060607910156,-53.09592819213867,54.15641784667969
0.06969786435365677,0.18811315298080444,0.9538674354553223,1.013052225112915,-150.45034790039062,-51.10939025878906,52.143001556396484,0.0696588084101677,0.18804186582565308,0.263929545879364,0.43363794684410095,3,127,,,,,,,
,,,,,,,,,,,3,127,0.07058901339769363,0.19485251605510712,0.9543108940124512,1.0163538455963135,-156.4891815185547,-51.42003631591797,52.461341857910156
0.06916828453540802,0.18161042034626007,0.9536048173904419,1.0098227262496948,-145.128662109375,-50.47166061401367,51.49837112426758,0.06912927329540253,0.1815599799156189,0.262924462556839,0.4260985553264618,4,159,,,,,,,
,,,,,,,,,,,4,159,0.06959753483533859,0.18432991206645966,0.9538148045539856,1.0111747980117798,-146.97865295410156,-50.328433990478516,51.357704162597656
0.06884602457284927,0.1772504448890686,0.953446090221405,1.0076727867126465,-139.46490478515625,-50.12929153442383,51.149295806884766,0.06880700588226318,0.1771986484527588,0.2623108923435211,0.42094969749450684,5,191,,,,,,,
,,,,,,,,,,,5,191,0.06914234161376953,0.17901729047298431,0.9535937905311584,1.008561611175537,-141.93978881835938,-49.66924285888672,50.692195892333984
