validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_step/linear_loss,validation_step/linear_accuracy,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,validation_epoch_metrics/avg_linear_accuracy,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss,training_step/linear_loss,training_step/linear_accuracy
0.09020720422267914,0.35741716623306274,0.9642098546028137,1.0962855815887451,-132.49118041992188,-58.31819152832031,59.375850677490234,2.3813087940216064,0.18574804067611694,0.09015214443206787,0.3575437664985657,0.3002534806728363,0.5979496240615845,0.18529623746871948,0,31,,,,,,,,,
,,,,,,,,,,,,,,0,31,0.13094143569469452,0.6036141514778137,0.9840813875198364,1.2016600370407104,6.702226161956787,-73.41166687011719,74.38636016845703,2.447901487350464,0.13583222031593323
0.07723774015903473,0.2548198401927948,0.9576879739761353,1.0462132692337036,-174.71487426757812,-54.32276153564453,55.39723205566406,2.2405247688293457,0.2210536003112793,0.07719476521015167,0.2547534108161926,0.27783945202827454,0.5047309994697571,0.22018568217754364,1,63,,,,,,,,,
,,,,,,,,,,,,,,1,63,0.08382011950016022,0.30380120873451233,0.9609620571136475,1.0702348947525024,-168.4026641845703,-56.01299285888672,57.09339904785156,2.311253070831299,0.20526957511901855
0.07148745656013489,0.20136724412441254,0.9547622203826904,1.019569754600525,-162.48614501953125,-52.371253967285156,53.42020797729492,2.157510280609131,0.2269842028617859,0.07144810259342194,0.20129717886447906,0.26729777455329895,0.44866153597831726,0.22643797099590302,2,95,,,,,,,,,
,,,,,,,,,,,,,,2,95,0.07370650768280029,0.2245739847421646,0.9558979868888855,1.0311146974563599,-168.40475463867188,-53.09794998168945,54.15851593017578,2.1965222358703613,0.22859039902687073
0.06984487175941467,0.1902402639389038,0.9539402723312378,1.0140721797943115,-152.0036163330078,-51.16653823852539,52.20218276977539,2.1204464435577393,0.24662929773330688,0.06980639696121216,0.19016622006893158,0.26420900225639343,0.4360805153846741,0.24567730724811554,3,127,,,,,,,,,
,,,,,,,,,,,,,,3,127,0.07057511806488037,0.19430629909038544,0.9543077349662781,1.0160791873931885,-156.69955444335938,-51.43742370605469,52.47882843017578,2.1351654529571533,0.24159446358680725
0.06929782032966614,0.18345186114311218,0.9536707401275635,1.0107077360153198,-144.29745483398438,-50.46402359008789,51.49032211303711,2.084151268005371,0.2618727684020996,0.06926113367080688,0.18339146673679352,0.2631751000881195,0.4282422959804535,0.2611180245876312,4,159,,,,,,,,,
,,,,,,,,,,,,,,4,159,0.06955095380544662,0.18584196269512177,0.9538002014160156,1.0118889808654785,-146.67523193359375,-50.384761810302734,51.41402816772461,2.097971200942993,0.2560502886772156
0.06871908158063889,0.17726069688796997,0.953390896320343,1.0076605081558228,-140.84915161132812,-49.97495651245117,50.996315002441406,2.0426480770111084,0.2875874638557434,0.06868071109056473,0.17720086872577667,0.26207005977630615,0.42095234990119934,0.28670480847358704,5,191,,,,,,,,,
,,,,,,,,,,,,,,5,191,0.06919979304075241,0.18033139407634735,0.9536340236663818,1.0091689825057983,-141.66883850097656,-49.70622253417969,50.72919845581055,2.0625903606414795,0.2772861421108246
0.0686875432729721,0.17512774467468262,0.9533700346946716,1.0065875053405762,-139.6927947998047,-49.73112106323242,50.75083541870117,1.9981898069381714,0.31260713934898376,0.0686492919921875,0.17510883510112762,0.2620100975036621,0.41846007108688354,0.31158772110939026,6,223,,,,,,,,,
,,,,,,,,,,,,,,6,223,0.06883452832698822,0.17647163569927216,0.9534459710121155,1.007262945175171,-140.1724395751953,-49.203224182128906,50.2237548828125,2.0254056453704834,0.2989080846309662
0.06841268390417099,0.17153924703598022,0.9532456994056702,1.004867434501648,-137.84515380859375,-49.5489616394043,50.56599426269531,1.9723701477050781,0.3246999979019165,0.06837455183267593,0.1715116947889328,0.2614852786064148,0.4141397178173065,0.3239719271659851,7,255,,,,,,,,,
,,,,,,,,,,,,,,7,255,0.06872603297233582,0.17338746786117554,0.9533997178077698,1.0057495832443237,-138.27035522460938,-48.812583923339844,49.83051300048828,1.9934008121490479,0.3183678388595581
0.06829018145799637,0.1727960854768753,0.9531976580619812,1.00550377368927,-131.35006713867188,-49.492610931396484,50.50341796875,1.9785263538360596,0.3246999979019165,0.0682535171508789,0.17280901968479156,0.2612537443637848,0.41570302844047546,0.324466347694397,8,287,,,,,,,,,
,,,,,,,,,,,,,,8,287,0.06864460557699203,0.17175425589084625,0.9533658623695374,1.0049755573272705,-135.40248107910156,-48.58542251586914,49.60012435913086,1.9734280109405518,0.32559576630592346
0.06833196431398392,0.16848722100257874,0.9532163143157959,1.0035078525543213,-130.50929260253906,-49.18720626831055,50.1962890625,1.9377535581588745,0.3390168249607086,0.0682973563671112,0.1684587299823761,0.26133763790130615,0.4104372560977936,0.3386009633541107,9,319,,,,,,,,,
